epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.2377,2.37327,0.63768,0.92754,2.50907,0.000235571,0.000235571,0.000235571
2,36.6023,1.46844,0.98551,0.99275,1.95661,0.00045013,0.00045013,0.00045013
3,45.3862,0.62487,0.97101,0.99275,1.78662,0.000641126,0.000641126,0.000641126
4,50.9699,0.19991,0.98551,0.99275,1.7666,0.000607971,0.000607971,0.000607971
5,58.3962,0.13876,0.98551,0.99275,1.76842,0.000572628,0.000572628,0.000572628
6,66.1726,0.13155,0.98551,0.99275,1.76918,0.000537285,0.000537285,0.000537285
7,72.5268,0.12904,0.99275,0.99275,1.76556,0.000501942,0.000501942,0.000501942
8,82.4189,0.10178,0.98551,0.99275,1.76688,0.000466599,0.000466599,0.000466599
9,88.5684,0.07221,0.98551,0.99275,1.76639,0.000431256,0.000431256,0.000431256
10,96.118,0.0616,0.99275,0.99275,1.76332,0.000395913,0.000395913,0.000395913
11,106.813,0.06114,0.98551,0.99275,1.76646,0.00036057,0.00036057,0.00036057
12,115.151,0.08169,0.98551,0.99275,1.76814,0.000325227,0.000325227,0.000325227
13,121.533,0.07144,0.98551,0.99275,1.76814,0.000289884,0.000289884,0.000289884
14,127.149,0.06364,0.98551,0.99275,1.768,0.000254541,0.000254541,0.000254541
15,136.085,0.06469,0.98551,0.99275,1.76828,0.000219198,0.000219198,0.000219198
16,141.802,0.05594,0.98551,0.99275,1.76583,0.000183855,0.000183855,0.000183855
17,148.71,0.06509,0.99275,0.99275,1.76437,0.000148512,0.000148512,0.000148512
18,156.073,0.06178,0.98551,0.99275,1.76793,0.000113169,0.000113169,0.000113169
19,161.69,0.04023,0.98551,0.99275,1.76842,7.7826e-05,7.7826e-05,7.7826e-05
20,170.352,0.03424,0.98551,0.99275,1.76821,4.2483e-05,4.2483e-05,4.2483e-05
